BrandName,Details,Sizes,MRP,SellPrice,Discount,Category,Colour,Tokenized_Details
cover story,printed polyester round neck womens dress,"Size:Medium,Small,X-Large,X-Small",4490.0,3143.0,30.0,dress,black,"['printed', 'polyester', 'round', 'neck', 'womens', 'dress']"
life,printed collar neck polyester womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499.0,50.0,regular top,navy,"['printed', 'collar', 'neck', 'polyester', 'womens', 'regular', 'top']"
zink london,lace polyester round neck womens dress,"Size:Large,Medium,Small,X-Large",3299.0,1979.0,40.0,dress,green,"['lace', 'polyester', 'round', 'neck', 'womens', 'dress']"
stop,solid viscose v-neck womens regular top,"Size:Large,Medium,Small,XX-Large",999.0,499.0,50.0,regular top,mustard,"['solid', 'viscose', 'v-neck', 'womens', 'regular', 'top']"
fratini,printed v-neck polyester womens regular dress,"Size:Large,Medium,Small,X-Large,XX-Large",1899.0,949.0,50.0,regular dress,natural,"['printed', 'v-neck', 'polyester', 'womens', 'regular', 'dress']"
rare,floral polyester off shoulder womens flared dress,"Size:Large,Medium,Small,X-Large",1899.0,854.0,55.0,flared dress,black,"['floral', 'polyester', 'shoulder', 'womens', 'flared', 'dress']"
life,printed viscose wide neck womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649.0,50.0,regular dress,pink,"['printed', 'viscose', 'wide', 'neck', 'womens', 'regular', 'dress']"
altlife,printed skinny fit cotton blend womens active wear track pants,"Size:28,30,32,34,36",999.0,499.0,50.0,active wear track pants,grey,"['printed', 'skinny', 'fit', 'cotton', 'blend', 'womens', 'active', 'wear', 'track', 'pants']"
stop,printed regular neck cotton womens formal shirt,"Size:Medium,Small,X-Small,XX-Large",899.0,449.0,50.0,formal shirt,blue denim,"['printed', 'regular', 'neck', 'cotton', 'womens', 'formal', 'shirt']"
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",1999.0,999.0,50.0,jeans,olive,"['regular', 'fit', 'regular', 'length', 'denim', 'womens', 'jeans']"
rare,solid polyester round neck womens a-line dress,"Size:Large,Medium,Small,X-Large",1499.0,674.0,55.0,a-line dress,navy,"['solid', 'polyester', 'round', 'neck', 'womens', 'a-line', 'dress']"
zink london,solid polyester v neck womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1399.0,839.0,40.0,top,yellow,"['solid', 'polyester', 'v', 'neck', 'womens', 'top']"
life,printed cotton blend collar neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499.0,50.0,t-shirt,red,"['printed', 'cotton', 'blend', 'collar', 'neck', 'womens', 't-shirt']"
madame,printed polyester blend square neck womens dress,"Size:Large,Medium,Small,X-Large,XX-Large",2699.0,1619.0,40.0,dress,green,"['printed', 'polyester', 'blend', 'square', 'neck', 'womens', 'dress']"
zink london,solid polyester scoop neck womens bodycon dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2499.0,1499.0,40.0,bodycon dress,baby pink,"['solid', 'polyester', 'scoop', 'neck', 'womens', 'bodycon', 'dress']"
rare,floral polyester v neck womens flared dress,"Size:Large,Medium,Small,X-Large",2099.0,944.0,55.0,flared dress,blue,"['floral', 'polyester', 'v', 'neck', 'womens', 'flared', 'dress']"
fratini,solid round neck viscose womens regular dress,"Size:Large,Medium,Small,X-Large,XX-Large",1499.0,749.0,50.0,regular dress,black,"['solid', 'round', 'neck', 'viscose', 'womens', 'regular', 'dress']"
iti,solid georgette collar neck womens top,"Size:Small,X-Small",1499.0,399.0,73.0,top,olive,"['solid', 'georgette', 'collar', 'neck', 'womens', 'top']"
rare,solid comfort fit polyester womens casual wear trousers,"Size:Large,Medium,Small,X-Large",1599.0,719.0,55.0,casual wear trousers,black,"['solid', 'comfort', 'fit', 'polyester', 'womens', 'casual', 'wear', 'trousers']"
cover story,regular fit polyester womens casual trousers,"Size:26,28,30,32,34",2590.0,1813.0,30.0,casual trousers,pink,"['regular', 'fit', 'polyester', 'womens', 'casual', 'trousers']"
zink london,printed v neck polyester womens a-line dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2299.0,1149.0,50.0,a-line dress,green,"['printed', 'v', 'neck', 'polyester', 'womens', 'a-line', 'dress']"
and,polka dots boat neck viscose womens regular dresses,"Size:8,10,12,14,16,18",2899.0,2319.0,20.0,regular dresses,pink,"['polka', 'dots', 'boat', 'neck', 'viscose', 'womens', 'regular', 'dresses']"
van heusen,solid cotton v neck womens formal shirt,"Size:Large,Medium,Small",1999.0,799.0,60.0,formal shirt,green,"['solid', 'cotton', 'v', 'neck', 'womens', 'formal', 'shirt']"
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,t-shirt,yellow,"['printed', 'cotton', 'lycra', 'round', 'neck', 'womens', 't-shirt']"
life,solid cotton blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large",899.0,449.0,50.0,t-shirt,pink,"['solid', 'cotton', 'blend', 'round', 'neck', 'womens', 't-shirt']"
faballey,printed georgette round neck womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",2800.0,2240.0,20.0,regular dress,pink,"['printed', 'georgette', 'round', 'neck', 'womens', 'regular', 'dress']"
rare,floral polyester v neck womens flared dress,"Size:Large,Medium,Small",2099.0,944.0,55.0,flared dress,natural,"['floral', 'polyester', 'v', 'neck', 'womens', 'flared', 'dress']"
rare,solid polyester round neck womens a-line dress,"Size:Large,Medium,Small,X-Large",1999.0,799.0,60.0,a-line dress,red,"['solid', 'polyester', 'round', 'neck', 'womens', 'a-line', 'dress']"
rare,solid georgette round neck womens top,"Size:Large,Small,X-Large",1399.0,559.0,60.0,top,maroon,"['solid', 'georgette', 'round', 'neck', 'womens', 'top']"
stop,printed viscose regular neck womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",999.0,499.0,50.0,top,white,"['printed', 'viscose', 'regular', 'neck', 'womens', 'top']"
