BrandName,Details,Sizes,MRP,SellPrice,Discount,Category,Colour
stop,printed regular neck cotton womens formal shirt,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",799.0,399.0,50.0,formal shirt,black
zink london,printed cotton round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",799.0,479.0,40.0,t-shirt,green
zink london,floral rayon collar neck womens casual shirt,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1599.0,799.0,50.0,casual shirt,yellow
rare,floral georgette round neck womens flared dress,"Size:Large,Medium,Small",1899.0,854.0,55.0,flared dress,grey
van heusen,super slim fit regular cotton womens jeans,"Size:28,32,34",2199.0,999.0,55.0,jeans,navy
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,t-shirt,blue
rare,solid polyester blend round neck womens a-line dress,"Size:Small,X-Large",1699.0,764.0,55.0,a-line dress,black
life,striped cotton blend collar neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",799.0,399.0,50.0,t-shirt,blue
van heusen,textured polyester blend regular fit womens trousers,"Size:26,34",2199.0,999.0,55.0,trousers,maroon
madame,solid cotton round neck womens regular top,"Size:Large,Medium,Small,X-Large",1199.0,599.0,50.0,regular top,off white
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32,34,36",1299.0,649.0,50.0,jeans,black
van heusen,solid polyester collar neck womens formal shirt,Size:X-Small,1699.0,999.0,41.0,formal shirt,off white
rare,floral polyester round neck womens regular top,"Size:Large,Medium,Small,X-Large",1299.0,584.0,55.0,regular top,multi
life,solid polyester blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499.0,50.0,t-shirt,black
only,stripes polyester round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",1799.0,1079.0,40.0,t-shirt,blue
infuse,graphic cotton round neck womens regular fit t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",499.0,199.0,60.0,regular fit t-shirt,yellow
and,solid boat neck polyester womens straight dresses,"Size:6,8,10,12,14,16",2499.0,1999.0,20.0,straight dresses,multi
